Date,AAPL,GLD,JPM,MSFT,NVDA,SPY,TLT,XOM
2015-01-05,-0.02857615242031062,0.014964618775983719,-0.03153723889678033,-0.009238367000595157,-0.01703422241212649,-0.018224873223379394,0.015585833416244801,-0.02774333423178209
2015-01-06,9.418238803582376e-05,0.011334482171420189,-0.026270913607451027,-0.014786262674676027,-0.030787529230722834,-0.009463561549838365,0.017857154243482755,-0.005330068895890029
2015-01-07,0.013924811258476964,-0.005908836993974954,0.0015247983814342984,0.012625230572334693,-0.002608844227620928,0.012384064604333308,-0.0019772865544475946,0.010081478649039239
2015-01-08,0.037702592749617674,-0.0042173997009502945,0.02210035557864573,0.028994051558787818,0.03692732735684156,0.017589749779345836,-0.013331220743242328,0.01650761827541779
2015-01-09,0.0010718479807549715,0.011320872784881022,-0.01754003468434616,-0.00844075696092143,0.004020132545813338,-0.00804620316659431,0.0108932693320372,-0.0014106054164715292
2015-01-12,-0.024949107465541267,0.011025431201653892,-0.008631511254262867,-0.0125815928757016,-0.012616797925229364,-0.007864314814577769,0.005705852701866128,-0.019405501345996168
2015-01-13,0.008839196532729738,-0.0033794717396937453,0.00016986211789912634,-0.005163531399092078,-0.0015251357991445365,-0.0028164987892643372,0.0,-0.0036597226925683016
2015-01-14,-0.003817353876742966,-0.0016093040146014643,-0.0351096367643815,-0.008665580258888392,0.0040610732216182655,-0.006055420452395446,0.007557457836556045,-0.002893050417013689
2015-01-15,-0.027515753702851423,0.02486420983066415,-0.03256076716493285,-0.01049860448681865,-0.00711745246963347,-0.009203121332886931,0.015612893610603081,-0.008729920244264177
2015-01-16,-0.007800406159122933,0.01297967953352017,0.016949331592444196,0.01657262926819015,0.018200763643476472,0.013028953589722076,-0.012830853963115606,0.02399068378925257
2015-01-20,0.02543100135758136,0.013618890362551296,-0.003941308502566927,0.003238953474487322,0.0030015229828712206,0.0021305825893212812,0.013201626531215144,-0.00032947916471590436
